"","MS_autoAbs_call","name","value","count","total","freq","frequency","freq_percent"
"1","Post
Auto-Antibody","≤1","Mimic",1335,22225,6.00674915635546,1,0.403225806451613
"2","Post
Auto-Antibody","≤2","Mimic",17870,22225,80.4049493813273,1,0.403225806451613
"3","Pre
Auto-Antibody","≤1","Mimic",1256,21407,5.86723968795254,1,0.4
"4","Pre
Auto-Antibody","≤2","Mimic",17205,21407,80.3709067127575,1,0.4
"5","Pre&Post
Auto-Antibody","≤1","Mimic",752,12802,5.87408217466021,1,0.403225806451613
"6","Pre&Post
Auto-Antibody","≤2","Mimic",10343,12802,80.7920637400406,1,0.403225806451613
"7","Post
Auto-Antibody","≤1","Mimic",258,3998,6.45322661330665,2,0.806451612903226
"8","Post
Auto-Antibody","≤2","Mimic",3304,3998,82.6413206603302,2,0.806451612903226
"9","Pre
Auto-Antibody","≤1","Mimic",232,3750,6.18666666666667,2,0.8
"10","Pre
Auto-Antibody","≤2","Mimic",3075,3750,82,2,0.8
"11","Pre&Post
Auto-Antibody","≤1","Mimic",108,1839,5.87275693311582,2,0.806451612903226
"12","Pre&Post
Auto-Antibody","≤2","Mimic",1541,1839,83.7955410549212,2,0.806451612903226
"13","Post
Auto-Antibody","≤1","Mimic",61,930,6.55913978494624,3,1.20967741935484
"14","Post
Auto-Antibody","≤2","Mimic",787,930,84.6236559139785,3,1.20967741935484
"15","Pre
Auto-Antibody","≤1","Mimic",54,876,6.16438356164384,3,1.2
"16","Pre
Auto-Antibody","≤2","Mimic",726,876,82.8767123287671,3,1.2
"17","Pre&Post
Auto-Antibody","≤1","Mimic",23,364,6.31868131868132,3,1.20967741935484
"18","Pre&Post
Auto-Antibody","≤2","Mimic",315,364,86.5384615384615,3,1.20967741935484
"19","Post
Auto-Antibody","≤1","Mimic",21,246,8.53658536585366,4,1.61290322580645
"20","Post
Auto-Antibody","≤2","Mimic",210,246,85.3658536585366,4,1.61290322580645
"21","Pre
Auto-Antibody","≤1","Mimic",17,250,6.8,4,1.6
"22","Pre
Auto-Antibody","≤2","Mimic",217,250,86.8,4,1.6
"23","Pre&Post
Auto-Antibody","≤1","Mimic",8,90,8.88888888888889,4,1.61290322580645
"24","Pre&Post
Auto-Antibody","≤2","Mimic",76,90,84.4444444444444,4,1.61290322580645
"25","Post
Auto-Antibody","≤1","Mimic",7,70,10,5,2.01612903225806
"26","Post
Auto-Antibody","≤2","Mimic",61,70,87.1428571428571,5,2.01612903225806
"27","Pre
Auto-Antibody","≤1","Mimic",6,83,7.2289156626506,5,2
"28","Pre
Auto-Antibody","≤2","Mimic",70,83,84.3373493975904,5,2
"29","Pre&Post
Auto-Antibody","≤1","Mimic",3,26,11.5384615384615,5,2.01612903225806
"30","Pre&Post
Auto-Antibody","≤2","Mimic",23,26,88.4615384615385,5,2.01612903225806
"31","Post
Auto-Antibody","≤1","Mimic",0,22,0,6,2.41935483870968
"32","Post
Auto-Antibody","≤2","Mimic",20,20,100,6,2.41935483870968
"33","Pre
Auto-Antibody","≤1","Mimic",2,21,9.52380952380952,6,2.4
"34","Pre
Auto-Antibody","≤2","Mimic",19,19,100,6,2.4
"35","Pre&Post
Auto-Antibody","≤1","Mimic",1,8,12.5,6,2.41935483870968
"36","Pre&Post
Auto-Antibody","≤2","Mimic",8,8,100,6,2.41935483870968
"37","Post
Auto-Antibody","≤1","Mimic",0,5,0,7,2.82258064516129
"38","Post
Auto-Antibody","≤2","Mimic",5,5,100,7,2.82258064516129
"39","Pre
Auto-Antibody","≤1","Mimic",2,9,22.2222222222222,7,2.8
"40","Pre
Auto-Antibody","≤2","Mimic",9,9,100,7,2.8
"41","Pre&Post
Auto-Antibody","≤1","Mimic",1,2,50,7,2.82258064516129
"42","Pre&Post
Auto-Antibody","≤2","Mimic",2,2,100,7,2.82258064516129
"43","Post
Auto-Antibody","≤1","Mimic",1,2,50,8,3.2258064516129
"44","Post
Auto-Antibody","≤2","Mimic",2,2,100,8,3.2258064516129
"45","Pre
Auto-Antibody","≤1","Mimic",1,1,100,8,3.2
"46","Pre
Auto-Antibody","≤2","Mimic",1,1,100,8,3.2
"47","Post
Auto-Antibody","≤1","Mimic",1,1,100,9,3.62903225806452
"48","Post
Auto-Antibody","≤2","Mimic",1,1,100,9,3.62903225806452
